id_produto,id_contrato,id_cliente,data_entrada,valor_fin,qtde_prest,juros_efet,data_entrada,data_final,provisao,fat,rating_operacao,rating_cliente,ra,porte,setor,situacao,rating_atual,linha_fin,tipo_a,tipo_b,tipo_c,tipo_d,garantia,valor_garantia
10979,30570034,212911,42353,908.17,74,0.37028,42353,44607,691,813483,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30590035,227501,42391,920.8,73,0.370318,42391,44607,69482,11790,AA,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,F,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30580030,227625,42444,958.02,73,0.370356,42444,44607,723,1627768,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30780039,231550,42551,882.57,70,0.370307,42551,44669,0,1217036,AA,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30730031,231690,42444,973.87,74,0.370347,42444,44635,4409,1101647,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,C,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,34740031,231746,42444,878.78,83,0.37032,42444,44910,663,828199,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,36540030,231851,42444,1436.74,87,0.370303,42444,45033,2168,1162357,B,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,31250033,232092,42391,965.54,75,0.370335,42391,44669,729,1032845,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,30820030,233226,42353,950.63,75,0.370301,42353,44635,0,845567,AA,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
10979,31270034,233650,42353,867.34,76,0.37032,42353,44669,132035,821778,AA,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,H,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,FGI ,0
