juros_efet,rating_operacao,rating_cliente,ra,porte,setor,situacao,rating_atual,linha_fin,tipo_a,tipo_b,tipo_c,tipo_d,garantia
1.419.467,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.311.438,B,B,RA de Araçatuba,MICRO,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.307.358,B,B,Região Metropolitana de São Paulo,MICRO,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
0.757911,C,D,RA de Santos,MICRO,SETOR PRIVADO,ADIMPLENTE,B,INOVACRED,PI,RT,PRIV,FINEP,Alienação Fiduciária Imóvel
1.270.509,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.443.781,C,C,RA de Marília,MICRO,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.476.702,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.283.101,B,B,OUTRAS,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.279.421,B,B,OUTRAS,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.476.702,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
127.106,B,B,RA de Marília,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.448.134,C,C,Região Metropolitana de São Paulo,MICRO,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.270.004,B,B,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.274.952,B,B,RA de Ribeirão Preto,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.431.324,C,C,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.205.033,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
